Item Name,Price
Azeitonas,£3.20
Pao e manteiga,£4.45
Sopa do dia,£6.50
Asinhas de frango,£12.95
Camarao a Casa,£10.99
Chourico Grelhado,£10.95
Lulas fritas ,£8.90
Moelas,£12.95
Picadinho de porco ou vaca,£14.99
Lasanha,£12.99
Spaghetti Bolognese,£14.85
Frango Assado 1/2,£16.99
Frango Assado 1/4,£13.00
Entrecosto,£14.95
Bitoque de porco,£16.99
Peitinhos de frango,£17.85
Grelhada mista,£25.99
Picanha,£23.99
Carne de porco a alentejana,£19.99
Francesinha,£22.95
Salada de bacalhau,£18.99
Salada de frango,£15.99
Batata frita,£4.95
Arroz,£4.99
Salada de alface,£3.50
Salada mista,£3.90
Egg sliced,£4.99
Egg roll,£5.99
egg ciabatta,£5.99
Egg baguette,£7.85
Ham or cheese sliced,£3.85
Ham or cheese roll,£3.85
Ham or cheese ciabatta,£4.99
Ham or cheese baguette,£4.99
Ham and cheese sliced,£4.50
Ham and cheese roll,£4.50
Ham and cheese ciabatta ,£5.20
Ham and cheese baguette,£5.90
Ham, cheese and tomato sliced",£4.85
Ham, cheese and tomato roll",£4.85
Ham, cheese and tomato ciabatta",£5.50
Ham, cheese and tomato baguette",£6.20
Bacon, egg and sausage sliced",£5.99
Bacon, egg and sausage roll",£5.99
Bacon, egg and sausage ciabatta ",£7.85
Bacon egg and sausage baguette,£8.99
Tuna mayo sliced,£5.50
Tuna mayo roll,£5.50
Tuna mayo ciabatta,£6.50
Tuna mayo baguette,£7.60
Tuna mayo with sweetcorn sliced,£5.99
Tuna mayo with sweetcorn roll,£5.99
Tuna mayo with sweetcorn ciabatta,£6.99
Tuna mayo with sweetcorn baguette,£7.99
Chicken mayo sliced,£5.80
Chicken mayo roll,£5.80
Chicken mayo ciabatta,£6.99
Chicken mayo baguette ,£8.99
Smoked salmon and avocado sliced,£6.20
Smoked salmon and avocado roll,£6.20
Smoked salmon and avocado ciabatta,£7.90
Smoked salmon and avocado baguette,£8.99
Chicken scalope ciabatta,£7.99
Chicken scalope baguette,£10.50
Prego no pao,£7.95
Pork fillet,£7.50
Vegetarian sandwich ,£8.90
Bifana especial,£10.99
Prego especial,£11.99
Cerradura ,£7.95
Arroz doce ,£4.70
Bolos diversos,£2.50
Pao com chourico,£5.85
Merendas,£2.80
Copo,£3.50
Meio jarro,£9.95
Jarro,£14.99
Pegoes 375ml,£12.50
Pegoes 750ml,£17.95
Monte Velho 375ml,£12.50
Monte Velho 750ml,£19.99
Casal Garcia Verde 750ml,£16.95
